OE,Produkt,Teilprodukt,"Aufwand/
Ertrag",ILV,Kostenartengruppe,2014,2015,2016,2017,Abweichung 2016-2015,Abweichung 2017-2016
,,,,,18   Transferaufwendungen,-179502,-180500,-183500,-187000,-3000,-3500
,,,,,19   sonstige ordentliche Aufwendungen,-215.37,-2338.56,-2402.68,-2377.56,-64.12,25.12
,,,,,24   außerordentliche Aufwendungen,-458.67, -      , -      , -      , -      , -      
,,,Ertrag,,,1154,10000,730.28,10106.68,-9269.72,9376.4
,,,,nein,,1154,10000,730.28,10106.68,-9269.72,9376.4
,,,,,  2   Zuwendungen und allgemeine Umlagen, -      ,10000, -      ,10000,-10000,10000
,,,,,  6   privatrechtliche Entgelte,989.04, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,164.96, -      ,730.28,106.68,730.28,-623.6
,,1.100.2.5.2.06.02  LV Möser Dokumentation,,,,-11098.89, -      , -      , -      , -      , -      
,,,Aufwand,,,-11098.89, -      , -      , -      , -      , -      
,,,,nein,,-11098.89, -      , -      , -      , -      , -      
,,,,,13   Aufwendungen für aktives Personal,-8681.62, -      , -      , -      , -      , -      
,,,,,14   Aufwendungen für Versorgung,-5.89, -      , -      , -      , -      , -      
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-2373.75, -      , -      , -      , -      , -      
,,,,,19   sonstige ordentliche Aufwendungen,-37.63, -      , -      , -      , -      , -      
,1.100.2.5.2.07  Kulturgeschichtl.Museum/Felix-Nussbau-H.,,,,,-2552697.18,-2677257.2,-2705104.28,-2730582.41,-27847.08,-25478.13
,,1.100.2.5.2.07.01  Stadtgeschichte/Kulturgeschichte,,,,-1088252.18,-1109505.4,-1090445.28,-1124137.24,19060.12,-33691.96
,,,Aufwand,,,-1132802.58,-1152615.4,-1135614.28,-1165796.72,17001.12,-30182.44
,,,,nein,,-1132802.58,-1152615.4,-1135614.28,-1165796.72,17001.12,-30182.44
,,,,,13   Aufwendungen für aktives Personal,-514912.55,-528066.32,-517888.16,-543671.08,10178.16,-25782.92
,,,,,14   Aufwendungen für Versorgung,-7281.52,-8924.04,-7938.24,-9177.72,985.8,-1239.48
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-40696.49,-50360.04,-44860.04,-49860.04,5500,-5000
,,,,,16   Abschreibungen,-36055.9,-34402.12,-32623.56,-30885,1778.56,1738.56
,,,,,18   Transferaufwendungen,-1300,-1300,-1300,-1300, -      , -      
,,,,,19   sonstige ordentliche Aufwendungen,-527620.73,-529562.88,-531004.28,-530902.88,-1441.4,101.4
,,,,,24   außerordentliche Aufwendungen,-4935.39, -      , -      , -      , -      , -      
,,,Ertrag,,,44550.4,43110,45169,41659.48,2059,-3509.52
,,,,nein,,44550.4,43110,45169,41659.48,2059,-3509.52
,,,,,  2   Zuwendungen und allgemeine Umlagen,5300,1000, -      , -      ,-1000, -      
,,,,,  3   Auflösungserträge aus Sonderposten,15197.23,15000,14673.6,13865.4,-326.4,-808.2
,,,,,  5   öffentlich-rechtliche Entgelte,19037.02,23500,23800,23800,300, -      
,,,,,  6   privatrechtliche Entgelte,3460.59,3610,3510,3510,-100, -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,190.52, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,1365.04, -      ,3185.4,484.08,3185.4,-2701.32
,,1.100.2.5.2.07.02  Kunst/Architektur,,,,-1221784.56,-1365030,-1392726.92,-1387367.21,-27696.92,5359.71
,,,Aufwand,,,-1330141.73,-1483420,-1516742.08,-1504080.13,-33322.08,12661.95
,,,,nein,,-1330141.73,-1483420,-1516742.08,-1504080.13,-33322.08,12661.95
,,,,,  2   Zuwendungen und allgemeine Umlagen, -      , -      , -      , -      , -      , -      
,,,,,13   Aufwendungen für aktives Personal,-551917.21,-622126.68,-645192.68,-639200.72,-23066,5991.96
,,,,,14   Aufwendungen für Versorgung,-9775.83,-11957.16,-11674.56,-12297.09,282.6,-622.53
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-73890.26,-159925.08,-172375.08,-167375.08,-12450,5000
,,,,,16   Abschreibungen,-45069.83,-43002.68,-40779.36,-38606.16,2223.32,2173.2
,,,,,19   sonstige ordentliche Aufwendungen,-643319.37,-646408.4,-646720.4,-646601.08,-312,119.32
,,,,,24   außerordentliche Aufwendungen,-6169.23, -      , -      , -      , -      , -      
,,,Ertrag,,,108357.17,118390,124015.16,116712.92,5625.16,-7302.24
,,,,nein,,108357.17,118390,124015.16,116712.92,5625.16,-7302.24
,,,,,  3   Auflösungserträge aus Sonderposten,35460.15,35000,34238.4,32352.6,-761.6,-1885.8
,,,,,  5   öffentlich-rechtliche Entgelte,59349.88,74200,74200,74200, -      , -      
,,,,,  6   privatrechtliche Entgelte,10360.17,9190,9190,9190, -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,492, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,2690.67, -      ,6386.76,970.32,6386.76,-5416.44
,,,,,24   außerordentliche Aufwendungen,4.3, -      , -      , -      , -      , -      
,,1.100.2.5.2.07.03  Veranstaltungen,,,,-242660.44,-202721.8,-221932.08,-219077.96,-19210.28,2854.12
,,,Aufwand,,,-262041.46,-225721.8,-245173.4,-242114.68,-19451.6,3058.72
,,,,nein,,-262041.46,-225721.8,-245173.4,-242114.68,-19451.6,3058.72
,,,,,13   Aufwendungen für aktives Personal,-114769.94,-68884.16,-90705.08,-88108.68,-21820.92,2596.4
,,,,,14   Aufwendungen für Versorgung,-1362.3,-1073.04,-1107.36,-1103.52,-34.32,3.84
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-15270.22,-25964.92,-23614.92,-23614.92,2350, -      
,,,,,16   Abschreibungen,-9013.93,-8600.6,-8155.84,-7721.12,444.76,434.72
,,,,,19   sonstige ordentliche Aufwendungen,-120391.23,-121199.08,-121590.2,-121566.44,-391.12,23.76
,,,,,24   außerordentliche Aufwendungen,-1233.84, -      , -      , -      , -      , -      
,,,Ertrag,,,19381.02,23000,23241.32,23036.72,241.32,-204.6
,,,,nein,,19381.02,23000,23241.32,23036.72,241.32,-204.6
,,,,,  5   öffentlich-rechtliche Entgelte,3501,7100,7400,7400,300, -      
,,,,,  6   privatrechtliche Entgelte,5133.09,5600,5600,5600, -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,10632.83,10300,10000,10000,-300, -      
,,,,,11   sonstige ordentliche Erträge,114.1, -      ,241.32,36.72,241.32,-204.6
,1.100.2.6.3.01  Musikschule,,,,,-1741567.4,-1702814.32,-1913313.52,-1946640.6,-210499.2,-33327.08
,,1.100.2.6.3.01.01  Musikschule,,,,-1741567.4,-1702814.32,-1913313.52,-1946640.6,-210499.2,-33327.08
,,,Aufwand,,,-2819619.32,-2875444.32,-3005952.92,-3068166.48,-130508.6,-62213.56
,,,,nein,,-2819619.32,-2875444.32,-3005952.92,-3068166.48,-130508.6,-62213.56
,,,,,13   Aufwendungen für aktives Personal,-2608168.37,-2636298.84,-2800466.56,-2835088.12,-164167.72,-34621.56
,,,,,14   Aufwendungen für Versorgung, -      ,-2795.76,-2494.32,-2724.36,301.44,-230.04
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-167300.41,-186220.24,-152360.28,-181296.24,33859.96,-28935.96
,,,,,16   Abschreibungen,-19202.18,-12309.24,-11746.24,-10446.4,563,1299.84
,,,,,19   sonstige ordentliche Aufwendungen,-24948.36,-37820.24,-38885.52,-38611.36,-1065.28,274.16
,,,Ertrag,,,1078051.92,1172630,1092639.4,1121525.88,-79990.6,28886.48
,,,,nein,,1078051.92,1172630,1092639.4,1121525.88,-79990.6,28886.48
,,,,,  2   Zuwendungen und allgemeine Umlagen,149519.27,180200,130000,130000,-50200, -      
,,,,,  3   Auflösungserträge aus Sonderposten,4036.37,2730,1958,1846,-772,-112
,,,,,  5   öffentlich-rechtliche Entgelte,855644.44,930000,881900,911900,-48100,30000
,,,,,  6   privatrechtliche Entgelte,3602.06,1700,1700,1700, -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,63409.78,58000,75900,75900,17900, -      
,,,,,11   sonstige ordentliche Erträge, -      , -      ,1181.4,179.88,1181.4,-1001.52
,,,,,23   außerordentliche Erträge,1840, -      , -      , -      , -      , -      
,1.100.2.7.2.01  Bibliotheken,,,,,-2278942.83,-2435504.76,-2468914.93,-2501796.32,-33410.17,-32881.39
,,1.100.2.7.2.01.01  Medienbereitstellung und -nutzung,,,,-1967098.69,-2106816.48,-2133456.16,-2160455.84,-26639.68,-26999.68
,,,Aufwand,,,-2194381.3,-2327544.48,-2368491,-2392477.56,-40946.52,-23986.56
,,,,nein,,-2194381.3,-2327544.48,-2368491,-2392477.56,-40946.52,-23986.56
,,,,,13   Aufwendungen für aktives Personal,-1378276.83,-1479634.24,-1508290.64,-1533983.36,-28656.4,-25692.72
,,,,,14   Aufwendungen für Versorgung,-13188.74,-19523.76,-19546.08,-19965.52,-22.32,-419.44
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-244487.06,-262379.72,-268599.76,-268599.76,-6220.04, -      
,,,,,16   Abschreibungen,-75302.57,-67443,-70226.8,-68221.68,-2783.8,2005.12
,,,,,19   sonstige ordentliche Aufwendungen,-473984.03,-498563.76,-501827.72,-501707.24,-3263.96,120.48
,,,,,24   außerordentliche Aufwendungen,-9142.07, -      , -      , -      , -      , -      
,,,Ertrag,,,227282.61,220728,235034.84,232021.72,14306.84,-3013.12
,,,,nein,,227282.61,220728,235034.84,232021.72,14306.84,-3013.12
,,,,,  2   Zuwendungen und allgemeine Umlagen,185.4, -      , -      , -      , -      , -      
,,,,,  3   Auflösungserträge aus Sonderposten,17041.44,17028,17040.64,16996.56,12.64,-44.08
,,,,,  5   öffentlich-rechtliche Entgelte,183115.81,192200,197200,202200,5000,5000
,,,,,  6   privatrechtliche Entgelte,3559.38,3500,3500,3500, -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,19439.62,8000,8000,8000, -      , -      
,,,,,11   sonstige ordentliche Erträge,3040.96, -      ,9294.2,1325.16,9294.2,-7969.04
,,,,,23   außerordentliche Erträge,900, -      , -      , -      , -      , -      
,,1.100.2.7.2.01.02  Medienvermittlung und Veranstaltungen,,,,-311844.14,-328688.28,-335458.77,-341340.48,-6770.49,-5881.71
,,,Aufwand,,,-347058.52,-358380.28,-368241.73,-373182.76,-9861.45,-4941.03
,,,,nein,,-347058.52,-358380.28,-368241.73,-373182.76,-9861.45,-4941.03
,,,,,13   Aufwendungen für aktives Personal,-251108.2,-253464.44,-262624.89,-267748.6,-9160.45,-5123.71
,,,,,14   Aufwendungen für Versorgung,-2250.78,-3555.36,-2408.52,-2461.32,1146.84,-52.8
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-45656.05,-52097.8,-53177.76,-53177.76,-1079.96, -      
,,,,,16   Abschreibungen,-8259.96,-7493.64,-7802.88,-7580.12,-309.24,222.76
,,,,,19   sonstige ordentliche Aufwendungen,-38368.76,-41769.04,-42227.68,-42214.96,-458.64,12.72
,,,,,24   außerordentliche Aufwendungen,-1414.77, -      , -      , -      , -      , -      
,,,Ertrag,,,35214.38,29692,32782.96,31842.28,3090.96,-940.68
,,,,nein,,35214.38,29692,32782.96,31842.28,3090.96,-940.68
,,,,,  2   Zuwendungen und allgemeine Umlagen,27867,27000,27000,27000, -      , -      
,,,,,  3   Auflösungserträge aus Sonderposten,1893.36,1892,1893.36,1888.44,1.36,-4.92
,,,,,  5   öffentlich-rechtliche Entgelte,801.13,800,800,800, -      , -      
,,,,,  6   privatrechtliche Entgelte,4071.5, -      ,2000,2000,2000, -      
,,,,,11   sonstige ordentliche Erträge,481.39, -      ,1089.6,153.84,1089.6,-935.76
,,,,,23   außerordentliche Erträge,100, -      , -      , -      , -      , -      
,,1.100.2.7.2.01.04  LV Bibliotheken,,,, -      , -      , -      , -      , -      , -      
,,,Aufwand,,, -      , -      , -      , -      , -      , -      
,,,,nein,, -      , -      , -      , -      , -      , -      
,,,,,16   Abschreibungen, -      , -      , -      , -      , -      , -      
,1.100.2.7.3.01  Institutionelle Förderung,,,,,-12393396.49,-12314060.92,-12546245.52,-12703048.16,-232184.6,-156802.64
,,1.100.2.7.3.01.01  Institutionelle Förderung,,,,-12393396.49,-12314060.92,-12546245.52,-12703048.16,-232184.6,-156802.64
,,,Aufwand,,,-12421515.24,-12341270.92,-12699054.6,-12954399.24,-357783.68,-255344.64
,,,,nein,,-12421515.24,-12341270.92,-12699054.6,-12954399.24,-357783.68,-255344.64
,,,,,13   Aufwendungen für aktives Personal,-176869.98,-38084.68,-47574.16,-41008.64,-9489.48,6565.52
,,,,,14   Aufwendungen für Versorgung,-10526.35,-2656.32,-3005.04,-2686.56,-348.72,318.48
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-2113.71,-2332.36,-2483,-2431.96,-150.64,51.04
,,,,,16   Abschreibungen,-211779.59,-186504.84,-208331,-206802.96,-21826.16,1528.04
,,,,,18   Transferaufwendungen,-11844666.67,-11995400,-12319378,-12585200,-323978,-265822
,,,,,19   sonstige ordentliche Aufwendungen,-168932.97,-116292.72,-118283.4,-116269.12,-1990.68,2014.28
,,,,,24   außerordentliche Aufwendungen,-6625.97, -      , -      , -      , -      , -      
,,,Ertrag,,,28118.75,27210,152809.08,251351.08,125599.08,98542
,,,,nein,,28118.75,27210,152809.08,251351.08,125599.08,98542
,,,,,  3   Auflösungserträge aus Sonderposten,4132.46,13510,37685.88,37473.72,24175.88,-212.16
,,,,,  6   privatrechtliche Entgelte,15296.07,13700,113700,213700,100000,100000
,,,,,  7   Kostenerstattungen und Kostenumlagen,6297.71, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,2382.94, -      ,1423.2,177.36,1423.2,-1245.84
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,9.57, -      , -      , -      , -      , -      
,1.100.2.7.3.02  Kulturförderung und Veranstaltungen,,,,,-377994.18,-569805.36,-504393.35,-508859.28,65412.01,-4465.93
,,1.100.2.7.3.02.01  Projektförderung an Dritte,,,,-48523.23,-75906.36,-85182.83,-80827.6,-9276.47,4355.23
,,,Aufwand,,,-50523.23,-75906.36,-86711.75,-81499,-10805.39,5212.75
,,,,nein,,-50523.23,-75906.36,-86711.75,-81499,-10805.39,5212.75
,,,,,  6   privatrechtliche Entgelte, -      , -      , -      , -      , -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen, -      , -      , -      , -      , -      , -      
,,,,,13   Aufwendungen für aktives Personal,-11648.07,-31681.72,-37816.36,-34338.68,-6134.64,3477.68
,,,,,14   Aufwendungen für Versorgung, -      ,-1562.52,-1767.71,-1580.4,-205.19,187.31
,,,,,15   Aufwendungen für Sach-/Dienstleistungen, -      ,-77.88,-166.44,-136.44,-88.56,30
,,,,,16   Abschreibungen, -      ,-844.08,-1646.52,-1313.4,-802.44,333.12
,,,,,18   Transferaufwendungen,-38866.75,-36500,-38900,-38900,-2400, -      
,,,,,19   sonstige ordentliche Aufwendungen,-8.41,-5240.16,-6414.72,-5230.08,-1174.56,1184.64
,,,Ertrag,,,2000, -      ,1528.92,671.4,1528.92,-857.52
,,,,nein,,2000, -      ,1528.92,671.4,1528.92,-857.52
,,,,,  2   Zuwendungen und allgemeine Umlagen,2000, -      , -      , -      , -      , -      
,,,,,  3   Auflösungserträge aus Sonderposten, -      , -      ,691.68,567,691.68,-124.68
,,,,,11   sonstige ordentliche Erträge, -      , -      ,837.24,104.4,837.24,-732.84
,,1.100.2.7.3.02.02  Kulturförderung und Veranstaltungen,,,,-329470.95,-493899,-419210.52,-428031.68,74688.48,-8821.16
,,,Aufwand,,,-426847.43,-519799,-446684.84,-452852.56,73114.16,-6167.72
,,,,nein,,-426847.43,-519799,-446684.84,-452852.56,73114.16,-6167.72
,,,,,  6   privatrechtliche Entgelte, -      , -      , -      , -      , -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen, -      , -      , -      , -      , -      , -      
,,,,,13   Aufwendungen für aktives Personal,-90788.73,-196390.08,-148733.12,-159674.56,47656.96,-10941.44
,,,,,14   Aufwendungen für Versorgung, -      ,-9125.36,-7601,-9229.4,1524.36,-1628.4
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-210548.73,-183054.76,-164115.56,-154196.6,18939.2,9918.96
,,,,,16   Abschreibungen, -      ,-4929.12,-7080,-7670.44,-2150.88,-590.44
,,,,,18   Transferaufwendungen,-119615.02,-94200,-90800,-90800,3400, -      
,,,,,19   sonstige ordentliche Aufwendungen,-5894.95,-32099.68,-28355.16,-31281.56,3744.52,-2926.4
,,,Ertrag,,,97376.48,25900,27474.32,24820.88,1574.32,-2653.44
,,,,nein,,97376.48,25900,27474.32,24820.88,1574.32,-2653.44
,,,,,  2   Zuwendungen und allgemeine Umlagen,60000,25000,20000,20000,-5000, -      
,,,,,  3   Auflösungserträge aus Sonderposten, -      , -      ,2974.44,3311.28,2974.44,336.84
,,,,,  5   öffentlich-rechtliche Entgelte,5222.6, -      , -      , -      , -      , -      
,,,,,  6   privatrechtliche Entgelte,4955.22,900,900,900, -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,27188.66, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge, -      , -      ,3599.88,609.6,3599.88,-2990.28
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,10, -      , -      , -      , -      , -      
,1.100.2.7.3.03  Kunstschule,,,,,-218041.54,-268306.28,-235574.48,-243993.56,32731.8,-8419.08
,,1.100.2.7.3.03.01  Kunstschule,,,,-218041.54,-268306.28,-235574.48,-243993.56,32731.8,-8419.08
,,,Aufwand,,,-296143.17,-331586.28,-293790.92,-301422.28,37795.36,-7631.36
,,,,nein,,-296143.17,-331586.28,-293790.92,-301422.28,37795.36,-7631.36
,,,,,  6   privatrechtliche Entgelte, -      , -      , -      , -      , -      , -      
,,,,,13   Aufwendungen für aktives Personal,-222594.74,-262740.32,-234362.12,-241707.6,28378.2,-7345.48
,,,,,14   Aufwendungen für Versorgung, -      ,-1082.64,-966,-1055.04,116.64,-89.04
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-42054.28,-32581.64,-24441.6,-25105.64,8140.04,-664.04
,,,,,16   Abschreibungen,-3732.54,-3530.84,-2273.44,-1699.68,1257.4,573.76
,,,,,19   sonstige ordentliche Aufwendungen,-27761.61,-31650.84,-31747.76,-31854.32,-96.92,-106.56
,,,Ertrag,,,78101.63,63280,58216.44,57428.72,-5063.56,-787.72
,,,,nein,,78101.63,63280,58216.44,57428.72,-5063.56,-787.72
,,,,,  2   Zuwendungen und allgemeine Umlagen,22878.67,12000,3500,3100,-8500,-400
,,,,,  3   Auflösungserträge aus Sonderposten,1349.2,1080,59,59,-1021, -      
,,,,,  5   öffentlich-rechtliche Entgelte,39582.53,40200,44200,44200,4000, -      
,,,,,  6   privatrechtliche Entgelte,1435.66,500,500,500, -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,12855.57,9500,9500,9500, -      , -      
,,,,,11   sonstige ordentliche Erträge, -      , -      ,457.44,69.72,457.44,-387.72
,1.100.2.8.1.01  Friedenskultur,,,,,-449530.88,-491027.92,-487166.48,-481378.4,3861.44,5788.08
,,1.100.2.8.1.01.01  Friedens- und Erinnerungskultur,,,,-226137.04,-251857.84,-258005.4,-262655.2,-6147.56,-4649.8
,,,Aufwand,,,-227712.08,-251857.84,-258675.96,-262757.2,-6818.12,-4081.24
,,,,nein,,-227712.08,-251857.84,-258675.96,-262757.2,-6818.12,-4081.24
,,,,,13   Aufwendungen für aktives Personal,-91684.87,-110988.24,-110768.48,-112572.24,219.76,-1803.76
,,,,,14   Aufwendungen für Versorgung,-1276.8,-1544.64,-1415.64,-1544.64,129,-129
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-11740.69,-16954,-21946.92,-21946.92,-4992.92, -      
,,,,,16   Abschreibungen,-629.19,-382.92,-191.88,-176.52,191.04,15.36
,,,,,18   Transferaufwendungen,-110337.88,-111100,-113400,-115600,-2300,-2200
,,,,,19   sonstige ordentliche Aufwendungen,-11238.94,-10888.04,-10953.04,-10916.88,-65,36.16
,,,,,24   außerordentliche Aufwendungen,-803.71, -      , -      , -      , -      , -      
,,,Ertrag,,,1575.04, -      ,670.56,102,670.56,-568.56
,,,,nein,,1575.04, -      ,670.56,102,670.56,-568.56
,,,,,  5   öffentlich-rechtliche Entgelte,1136, -      , -      , -      , -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,150, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,289.04, -      ,670.56,102,670.56,-568.56
,,1.100.2.8.1.01.02  Interkultur und Internationaler Dialog,,,,-223393.84,-239170.08,-229161.08,-218723.2,10009,10437.88
,,,Aufwand,,,-249837.45,-253670.08,-269476.64,-228961.12,-15806.56,40515.52
,,,,nein,,-249837.45,-253670.08,-269476.64,-228961.12,-15806.56,40515.52
,,,,,13   Aufwendungen für aktives Personal,-134945.39,-141724.76,-150353.96,-146233.64,-8629.2,4120.32
,,,,,14   Aufwendungen für Versorgung,-12341.66,-17728.8,-17557.92,-18747.2,170.88,-1189.28
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-64365.5,-57204.48,-69911.56,-19411.56,-12707.08,50500
,,,,,16   Abschreibungen,-1009.82,-609.76,-305.64,-281.04,304.12,24.6
,,,,,18   Transferaufwendungen,-9235,-17600,-12100,-25600,5500,-13500
,,,,,19   sonstige ordentliche Aufwendungen,-20171.48,-18802.28,-19247.56,-18687.68,-445.28,559.88
,,,,,24   außerordentliche Aufwendungen,-7768.6, -      , -      , -      , -      , -      
,,,Ertrag,,,26443.61,14500,40315.56,10237.92,25815.56,-30077.64
,,,,nein,,26443.61,14500,40315.56,10237.92,25815.56,-30077.64
,,,,,  2   Zuwendungen und allgemeine Umlagen,8604.3,8800,23000,8000,14200,-15000
,,,,,  6   privatrechtliche Entgelte,13634.22,1700,9000,1000,7300,-8000
,,,,,  7   Kostenerstattungen und Kostenumlagen,1078.93,4000, -      , -      ,-4000, -      
,,,,,11   sonstige ordentliche Erträge,2793.86, -      ,8315.56,1237.92,8315.56,-7077.64
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,332.3, -      , -      , -      , -      , -      
,1.100.2.9.1.01  Förderung von religiösen Zwecken,,,,,-14661.61,-14580,-14156,-13815,424,341
,,1.100.2.9.1.01.01  Förderung von religiösen Zwecken,,,,-14661.61,-14580,-14156,-13815,424,341
,,,Aufwand,,,-14661.61,-14580,-14156,-13815,424,341
,,,,nein,,-14661.61,-14580,-14156,-13815,424,341
,,,,,16   Abschreibungen,-14661.61,-14580,-14156,-13815,424,341
,1.100.5.2.3.01  Archäologische Denkmalpflege,,,,,-196635.88,-177985.32,-169106.88,-171626.72,8878.44,-2519.84
,,1.100.5.2.3.01.01  Denkmalpflegerische Maßnahmen und Dokum.,,,,-91448.2,-115931.28,-117493.52,-119500.6,-1562.24,-2007.08
,,,Aufwand,,,-207779.6,-251231.28,-248914.76,-253249.44,2316.52,-4334.68
,,,,nein,,-207779.6,-251231.28,-248914.76,-253249.44,2316.52,-4334.68
,,,,,  7   Kostenerstattungen und Kostenumlagen, -      , -      , -      , -      , -      , -      
,,,,,13   Aufwendungen für aktives Personal,-196227.1,-234546.52,-234146.84,-239007.56,399.68,-4860.72
,,,,,14   Aufwendungen für Versorgung,-458.18,-761.04,-678.96,-741.6,82.08,-62.64
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-1524.8,-5210,-3510.04,-3510.04,1699.96, -      
,,,,,16   Abschreibungen,-5399.79,-5926.24,-4225.08,-3668.2,1701.16,556.88
,,,,,19   sonstige ordentliche Aufwendungen,-3881.34,-4787.48,-6353.84,-6322.04,-1566.36,31.8
,,,,,24   außerordentliche Aufwendungen,-288.39, -      , -      , -      , -      , -      
,,,Ertrag,,,116331.4,135300,131421.24,133748.84,-3878.76,2327.6
,,,,nein,,116331.4,135300,131421.24,133748.84,-3878.76,2327.6
,,,,,  7   Kostenerstattungen und Kostenumlagen,116227.68,135300,131100,133700,-4200,2600
,,,,,11   sonstige ordentliche Erträge,103.72, -      ,321.24,48.84,321.24,-272.4
,,1.100.5.2.3.01.02  Sammlungsbetreuung und Vermittlung,,,,-105187.68,-62054.04,-51613.36,-52126.12,10440.68,-512.76
,,,Aufwand,,,-263109.26,-163354.04,-92751,-93947.12,70603.04,-1196.12
,,,,nein,,-263109.26,-163354.04,-92751,-93947.12,70603.04,-1196.12
,,,,,13   Aufwendungen für aktives Personal,-233193.47,-148595.48,-75411.4,-76832.88,73184.08,-1421.48
,,,,,14   Aufwendungen für Versorgung,-458.13,-325.08,-290.04,-316.8,35.04,-26.76
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-9971.23,-9918.56,-11618.52,-11618.52,-1699.96, -      
,,,,,16   Abschreibungen,-5399.71,-2539.84,-1810.68,-1572.12,729.16,238.56
,,,,,19   sonstige ordentliche Aufwendungen,-13798.33,-1975.08,-3620.36,-3606.8,-1645.28,13.56
,,,,,24   außerordentliche Aufwendungen,-288.39, -      , -      , -      , -      , -      
,,,Ertrag,,,157921.58,101300,41137.64,41821,-60162.36,683.36
,,,,nein,,157921.58,101300,41137.64,41821,-60162.36,683.36
,,,,,  7   Kostenerstattungen und Kostenumlagen,157817.87,101300,41000,41800,-60300,800
,,,,,11   sonstige ordentliche Erträge,103.71, -      ,137.64,21,137.64,-116.64
"(50) FB Intergration, Soziales und Bürgerengagement",,,,,,-54065859.25,-57367354.03,-57974283.16,-59633796.34,-606929.13,-1659513.18
,1.100.1.1.1.35  Allgemeine Stiftungen 50,,,,, -      , -      , -      , -      , -      , -      
,,1.100.1.1.1.35.01  Heinrich Rabe Stiftung,,,, -      , -      , -      , -      , -      , -      
,,,Aufwand,,,-1895, -      , -      , -      , -      , -      
,,,,nein,,-1895, -      , -      , -      , -      , -      
,,,,,18   Transferaufwendungen,-1895, -      , -      , -      , -      , -      
,,,Ertrag,,,1895, -      , -      , -      , -      , -      
,,,,nein,,1895, -      , -      , -      , -      , -      
,,,,,  8   Zinsen und ähnliche Finanzerträge,1895, -      , -      , -      , -      , -      
,1.100.1.1.1.42  Gleichstellung Behinderter (NBGG),,,,,10669.01, -      , -      , -      , -      , -      
,,1.100.1.1.1.42.01  Gleichstellung Behinderter (NBGG),,,,10669.01, -      , -      , -      , -      , -      
,,,Aufwand,,,-19240.99,-30900,-30900,-30900, -      , -      
,,,,nein,,-19240.99,-30900,-30900,-30900, -      , -      
,,,,,18   Transferaufwendungen, -      , -      , -      , -      , -      , -      
,,,,,19   sonstige ordentliche Aufwendungen,-19240.99,-30900,-30900,-30900, -      , -      
,,,Ertrag,,,29910,30900,30900,30900, -      , -      
,,,,nein,,29910,30900,30900,30900, -      , -      
,,,,,  2   Zuwendungen und allgemeine Umlagen,29910,30900,30900,30900, -      , -      
,1.100.1.1.1.44  Integrationsmanagement,,,,, -      ,-519044.13,-740800.88,-762315.84,-221756.75,-21514.96
,,1.100.1.1.1.44.01  Integrationsmanagement,,,, -      ,-234301.09,-142027.72,-145581.48,92273.37,-3553.76
,,,Aufwand,,, -      ,-237212.21,-144262,-145921.56,92950.21,-1659.56
,,,,nein,, -      ,-237212.21,-144262,-145921.56,92950.21,-1659.56
,,,,,13   Aufwendungen für aktives Personal, -      ,-170084.13,-91552.68,-92135.56,78531.45,-582.88
,,,,,14   Aufwendungen für Versorgung, -      ,-22622.28,-4717.44,-5148.72,17904.84,-431.28
,,,,,15   Aufwendungen für Sach-/Dienstleistungen, -      ,-12700,-12700,-12700, -      , -      
,,,,,16   Abschreibungen, -      ,-302.52,-253.56,-198,48.96,55.56
