OE;Produkt;Teilprodukt;Kostenartengruppe;2018 (Plan);Ertrag/Aufwand;Interne Leist. 
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-2671;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;18   Transferaufwendungen;-539300;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-1595;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;3   Auflösungserträge aus Sonderposten;2002;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;6   privatrechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;7   Kostenerstattungen und Kostenumlagen;617;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;11   sonstige ordentliche Erträge;38;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;13   Aufwendungen für aktives Personal;-11663;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;14   Aufwendungen für Versorgung;-662;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-289;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;19   sonstige ordentliche Aufwendungen;-1645;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;16   Abschreibungen;-12394;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-2028;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;18   Transferaufwendungen;-454200;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-1343;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;3   Auflösungserträge aus Sonderposten;1686;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;6   privatrechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;7   Kostenerstattungen und Kostenumlagen;520;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;11   sonstige ordentliche Erträge;32;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;13   Aufwendungen für aktives Personal;-9822;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;14   Aufwendungen für Versorgung;-558;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-243;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;19   sonstige ordentliche Aufwendungen;-1385;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;16   Abschreibungen;-10438;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-1708;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;18   Transferaufwendungen;-733900;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-2170;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;3   Auflösungserträge aus Sonderposten;2724;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;6   privatrechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;7   Kostenerstattungen und Kostenumlagen;840;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;11   sonstige ordentliche Erträge;51;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;13   Aufwendungen für aktives Personal;-15871;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;14   Aufwendungen für Versorgung;-901;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-393;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;19   sonstige ordentliche Aufwendungen;-2239;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;16   Abschreibungen;-16866;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-2760;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;18   Transferaufwendungen;-236100;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-698;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;3   Auflösungserträge aus Sonderposten;876;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;6   privatrechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;7   Kostenerstattungen und Kostenumlagen;270;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;11   sonstige ordentliche Erträge;17;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;13   Aufwendungen für aktives Personal;-5106;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;14   Aufwendungen für Versorgung;-290;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-126;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;19   sonstige ordentliche Aufwendungen;-720;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;16   Abschreibungen;-5426;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-888;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;18   Transferaufwendungen;-167300;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-495;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;3   Auflösungserträge aus Sonderposten;621;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;6   privatrechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;7   Kostenerstattungen und Kostenumlagen;191;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;11   sonstige ordentliche Erträge;12;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;13   Aufwendungen für aktives Personal;-3618;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;14   Aufwendungen für Versorgung;-206;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-90;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;19   sonstige ordentliche Aufwendungen;-510;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;16   Abschreibungen;-3845;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.02 KiTas in katholischer Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-629;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;18   Transferaufwendungen;-369800;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-1423;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;3   Auflösungserträge aus Sonderposten;1787;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;6   privatrechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;7   Kostenerstattungen und Kostenumlagen;551;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;11   sonstige ordentliche Erträge;34;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;13   Aufwendungen für aktives Personal;-10409;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;14   Aufwendungen für Versorgung;-591;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-258;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;19   sonstige ordentliche Aufwendungen;-1468;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;16   Abschreibungen;-11061;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-1810;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;18   Transferaufwendungen;-128000;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-493;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;3   Auflösungserträge aus Sonderposten;618;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;6   privatrechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;7   Kostenerstattungen und Kostenumlagen;191;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;11   sonstige ordentliche Erträge;12;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;13   Aufwendungen für aktives Personal;-3603;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;14   Aufwendungen für Versorgung;-205;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-89;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;19   sonstige ordentliche Aufwendungen;-508;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;16   Abschreibungen;-3829;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-627;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;18   Transferaufwendungen;-102600;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-395;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;3   Auflösungserträge aus Sonderposten;496;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;6   privatrechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;7   Kostenerstattungen und Kostenumlagen;153;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;11   sonstige ordentliche Erträge;9;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;13   Aufwendungen für aktives Personal;-2888;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;14   Aufwendungen für Versorgung;-164;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-72;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;19   sonstige ordentliche Aufwendungen;-407;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;16   Abschreibungen;-3069;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-502;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;18   Transferaufwendungen;-151700;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-584;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;3   Auflösungserträge aus Sonderposten;733;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;6   privatrechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;7   Kostenerstattungen und Kostenumlagen;226;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;11   sonstige ordentliche Erträge;14;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;13   Aufwendungen für aktives Personal;-4270;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;14   Aufwendungen für Versorgung;-242;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-106;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;19   sonstige ordentliche Aufwendungen;-602;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;16   Abschreibungen;-4538;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-742;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-2000;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;15   Aufwendungen für Sach-/Dienstleistungen;-1000;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;18   Transferaufwendungen;-343300;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;19   sonstige ordentliche Aufwendungen;-38900;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;19   sonstige ordentliche Aufwendungen;-1000;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.5.01 Tageseinrichtungen z.Förderung v.Kindern;1.100.3.6.5.01.03 KiTas in finanzschwacher Trägerschaft;27   Aufw. aus int. Leistungsbeziehungen;-1321;Aufwand;ja
